row_category,Sexual,Minors,Violence,Self-Harm,Disturbing,Illegal,Hate,Misinfo,Copyright,PublicFig,PID
Sexual,,12.4,2.1,1.8,4.3,3.2,1.4,0.9,0.7,2.1,0.4
Minors,14.7,,3.4,4.2,6.8,2.7,1.9,1.2,0.8,1.6,0.3
Violence,1.8,2.9,,8.3,21.4,9.7,4.2,2.4,0.6,3.8,0.4
Self-Harm,1.4,3.7,7.6,,18.2,3.1,1.7,1.4,0.4,1.2,0.3
Disturbing,3.8,5.1,18.9,16.4,,4.8,3.2,2.1,0.8,2.4,0.6
Illegal,2.4,1.8,8.4,2.3,4.1,,3.7,4.2,2.1,1.9,3.8
Hate,1.2,2.4,3.9,1.6,2.8,3.4,,12.6,1.4,8.3,1.2
Misinfo,0.8,1.3,2.2,1.1,1.9,3.8,11.8,,2.7,9.7,2.4
Copyright,0.6,0.9,0.7,0.4,0.8,1.9,1.2,2.4,,3.6,0.8
PublicFig,1.9,1.4,3.6,1.2,2.3,2.1,7.4,8.9,3.4,,4.2
PID,0.4,0.6,0.5,0.3,0.7,4.1,1.1,2.3,0.9,3.8,
