category,spearman_rho,stealthy_rate_pct,PPL_L3,delta_theta_deg
Disturbing Content,0.963,84.8,27.16,34.12 \
Violence,0.971,41.7,31.89,43.61  \
Self-Harm,0.990,41.8,26.86,46.52 \
Illegal Activities,0.950,86.8,30.42,40.64 \
Hate Speech,0.875,64.4,44.87,50.13 \
Copyright,0.981,100.0,40.63,31.59 \
Minors,0.974,76.8,21.34,39.36 \
PID,0.976,93.9,44.89,33.79 \
Misinformation,0.926,76.1,37.14,42.89 \
Sexual Content,0.990,55.6,35.75,41.42  \
Public Figures,0.980,78.1,34.88,38.48  \
Mean,0.962,72.32,33.92,40.23 \
