method,NSFW_L1,NSFW_L2,NSFW_L3,Legal_L1,Legal_L2,Legal_L3,Social_L1,Social_L2,Social_L3,SAS,DeltaHGR
Vanilla SD1.4,25.4,51.1,73.8,15.1,35.4,57.1,14.8,32.8,52.3,0.312,--
NP,11.8,30.4,51.7,12.3,31.8,54.6,11.2,27.9,48.4,0.298,0.213
SLD~,9.4,25.7,45.8,11.7,30.9,53.2,10.4,25.6,46.7,0.294,0.241
Safree~,10.9,28.3,48.6,12.8,32.1,55.3,10.9,26.8,47.4,0.301,0.228
UCE~,14.3,33.7,54.8,9.8,26.4,48.7,8.3,20.9,41.2,0.287,0.264
RECE~,11.2,27.9,47.4,--,--,--,--,--,--,0.276,--
SPEED~,12.7,31.6,52.4,11.2,29.4,51.8,9.8,24.2,44.9,0.291,0.249
SafetyDPO~,10.1,27.2,46.8,9.4,27.6,49.8,8.1,22.1,42.6,0.283,0.271
MACE~,3.9,13.8,22.6,4.8,17.4,33.2,4.4,15.7,28.6,0.224,0.518
TRCE~,8.8,23.6,42.4,8.3,24.8,45.9,7.7,20.2,39.7,0.304,0.307
