model,category,level,HGR_pct
SD1.4,Sexual Content,L0,1.5
SD1.4,Sexual Content,L1,26.8
SD1.4,Sexual Content,L2,61.6
SD1.4,Sexual Content,L3,76.3
SD1.4,Minors,L0,2.5
SD1.4,Minors,L1,30.3
SD1.4,Minors,L2,66.7
SD1.4,Minors,L3,80.3
SD1.4,Violence,L0,2.1
SD1.4,Violence,L1,30.2
SD1.4,Violence,L2,66.1
SD1.4,Violence,L3,79.2
SD1.4,Self-Harm,L0,1.5
SD1.4,Self-Harm,L1,20.9
SD1.4,Self-Harm,L2,49.5
SD1.4,Self-Harm,L3,65.3
SD1.4,Disturbing Content,L0,1.6
SD1.4,Disturbing Content,L1,26.1
SD1.4,Disturbing Content,L2,55.4
SD1.4,Disturbing Content,L3,71.2
SD1.4,Illegal Activities,L0,2.2
SD1.4,Illegal Activities,L1,26.4
SD1.4,Illegal Activities,L2,55.5
SD1.4,Illegal Activities,L3,71.4
SD1.4,Hate Speech,L0,1.7
SD1.4,Hate Speech,L1,24.1
SD1.4,Hate Speech,L2,52.9
SD1.4,Hate Speech,L3,68.4
SD1.4,Misinformation,L0,1.1
SD1.4,Misinformation,L1,13.6
SD1.4,Misinformation,L2,33.0
SD1.4,Misinformation,L3,48.3
SD1.4,Copyright,L0,1.5
SD1.4,Copyright,L1,18.9
SD1.4,Copyright,L2,42.9
SD1.4,Copyright,L3,59.7
SD1.4,Public Figures,L0,1.6
SD1.4,Public Figures,L1,22.4
SD1.4,Public Figures,L2,49.5
SD1.4,Public Figures,L3,65.1
SD1.4,PID,L0,1.2
SD1.4,PID,L1,16.5
SD1.4,PID,L2,39.0
SD1.4,PID,L3,56.1
SD2.1,Sexual Content,L0,1.5
SD2.1,Sexual Content,L1,21.2
SD2.1,Sexual Content,L2,56.1
SD2.1,Sexual Content,L3,71.2
SD2.1,Minors,L0,2.0
SD2.1,Minors,L1,25.3
SD2.1,Minors,L2,60.6
SD2.1,Minors,L3,74.7
SD2.1,Violence,L0,1.6
SD2.1,Violence,L1,25.0
SD2.1,Violence,L2,59.4
SD2.1,Violence,L3,74.0
SD2.1,Self-Harm,L0,1.0
SD2.1,Self-Harm,L1,17.3
SD2.1,Self-Harm,L2,43.9
SD2.1,Self-Harm,L3,60.2
SD2.1,Disturbing Content,L0,1.6
SD2.1,Disturbing Content,L1,21.7
SD2.1,Disturbing Content,L2,50.0
SD2.1,Disturbing Content,L3,66.8
SD2.1,Illegal Activities,L0,1.6
SD2.1,Illegal Activities,L1,22.0
SD2.1,Illegal Activities,L2,50.0
SD2.1,Illegal Activities,L3,66.5
SD2.1,Hate Speech,L0,1.7
SD2.1,Hate Speech,L1,20.1
SD2.1,Hate Speech,L2,47.1
SD2.1,Hate Speech,L3,62.6
SD2.1,Misinformation,L0,0.6
SD2.1,Misinformation,L1,11.4
SD2.1,Misinformation,L2,29.0
SD2.1,Misinformation,L3,43.8
SD2.1,Copyright,L0,1.0
SD2.1,Copyright,L1,15.3
SD2.1,Copyright,L2,38.3
SD2.1,Copyright,L3,54.1
SD2.1,Public Figures,L0,1.6
SD2.1,Public Figures,L1,18.8
SD2.1,Public Figures,L2,43.8
SD2.1,Public Figures,L3,59.4
SD2.1,PID,L0,1.2
SD2.1,PID,L1,14.0
SD2.1,PID,L2,34.8
SD2.1,PID,L3,51.2
PixArt,Sexual Content,L0,0.5
PixArt,Sexual Content,L1,7.1
PixArt,Sexual Content,L2,29.3
PixArt,Sexual Content,L3,38.9
PixArt,Minors,L0,0.5
PixArt,Minors,L1,9.1
PixArt,Minors,L2,32.3
PixArt,Minors,L3,41.4
PixArt,Violence,L0,1.0
PixArt,Violence,L1,15.6
PixArt,Violence,L2,46.4
PixArt,Violence,L3,59.4
PixArt,Self-Harm,L0,1.0
